target_id,cluster_id,Geometry,Geometry-fixed-strength,Geometry-global-prior,Geometry-no-Rg,John-fixed,John-original,Raw,Simple,h3_delta
8QEQ_R,8QEQ_R,6.668173045543389,6.658545165235583,6.637662778792129,6.668185246793456,6.630736466638979,6.63584268531379,6.695533030102713,6.742281647692565,0.0741086021491757
8RR3_T,8RR3_T,4.758194146955885,4.759743174015158,4.756743256598721,4.759518725738383,4.718537673161921,4.748665113146731,4.780892514811871,4.812797047794065,0.05460290083818009
8T2Y_tA,8XU8_s,0.9824901842408706,0.9764663170364951,0.981109420743169,0.9824589296793501,1.053357143717692,1.0265523625019832,1.003789324636442,0.9994502254461375,0.01696004120526684
8UP5_T,8UP5_T,1.7740493442487408,1.7665732539497856,1.773446857193261,1.773843247726159,1.7704664728070454,1.7706893570170426,1.8033213518481603,1.8014199989066253,0.027370654657884463
8VB6_F,8VBF_F,3.89882045265513,3.87561424448786,3.9088875264426095,3.8983456212064427,3.850545444624226,3.883501847713275,3.9365854740023787,3.9963472785473755,0.09752682589224548
8VBH_F,8VBF_F,4.231686431295654,4.230544834308733,4.233244361243278,4.231523701688651,4.13538197220968,4.164168759178075,4.259630742845338,4.298606327377855,0.06691989608220084
8Y03_G,8Y03_G,3.20496085685496,3.226034573941766,3.2049533348005936,3.2063963693897852,3.230822162376861,3.213786463203456,3.1913032396795913,3.220120594386168,0.015159737531207806
8Y08_B,8Y03_G,0.7996728566826248,0.8238824477816922,0.799876405016702,0.7996439757761672,0.8902680315729686,0.8485738809687351,0.7948394825408613,0.8204828586956691,0.020810002013044282
8Y0B_B,8Y0B_B,3.386618084248088,3.383126811475095,3.383221633596837,3.391286699487071,3.427290327092572,3.4374327452977895,3.401997646072732,3.411839127184045,0.025221042935957172
8ZOL_A,8ZOL_A,2.1417883627326,2.1607157074653918,2.1408355696363937,2.1408741640647024,2.223850950291138,2.1945786507734324,2.148028350106161,2.1850791135392003,0.043290750806600276
9D85_T,8UP5_T,2.351503670172568,2.3392284480950267,2.3515506331089258,2.351532945061912,2.3453548369040993,2.3452085517897094,2.378693178272727,2.357759739473574,0.006256069301006306
9FI8_hB,9FI8_hB,5.480298304488388,5.450841442794266,5.47943087723635,5.481112251350661,5.305266811999509,5.365245253942453,5.525644611692286,5.461542919764691,-0.018755384723696977
9FI8_hL,9FI8_hL,5.126524576256088,5.1050409448788345,5.12576078224949,5.126135506392956,5.06943489958935,5.089344519338983,5.173803283650411,5.121527631429774,-0.004996944826314298
9FIA_bJ,9FIA_bJ,5.993365890986627,5.974276070327478,5.984204144956198,5.987609761543945,5.8153442255022085,5.895257571234538,6.0363518647059475,6.0264814926959875,0.03311560170936012
9G6K_l1,9G6K_l1,6.67298802797311,6.639172981991125,6.671644800358727,6.674007726587777,6.381047843455586,6.490298420071473,6.71144526964879,6.64583275950844,-0.027155268464670534
9G6K_l3,9G6K_l3,5.969049326701399,5.955453982168261,5.968989571396946,5.970052403839212,5.8236435891111675,5.859117576922453,5.991481899392926,5.9583332953783925,-0.010716031323006803
9G6K_l9,9G6K_l9,5.9595481977858045,5.941427783446658,5.956954929932495,5.9598465956545565,5.753527483699932,5.834402604752182,5.97918880256951,5.9583466704738175,-0.0012015273119869718
9G6K_lA,9G6K_lA,7.6268818029883025,7.6039922800592965,7.625077786682584,7.62602821166486,7.31203367488491,7.397375045715124,7.677881318941873,7.649918229287907,0.023036426299604784
9G6K_lB,9G6K_lB,6.970159808232933,6.938744678319,6.967866838632455,6.971865443640114,6.64222449912176,6.725596330185486,7.003936325555976,6.943928487134786,-0.02623132109814641
9G6K_lK,9G6K_lK,6.673046406155473,6.663198215558934,6.676565122972889,6.676240336054964,6.508926714044878,6.536274361477834,6.698536954558793,6.6978648817753665,0.024818475619893476
