target_id,bank,geometry,sw9_improvement_simple_minus_geometry,lddt_improvement_geometry_minus_simple
R1107,J_5T,Geometry_historical,0.007766762441931974,-0.0007681391616812805
R1108,J_5T,Geometry_historical,0.011454537991497205,0.0007700830083553489
R1116,J_5T,Geometry_historical,0.0102411163165268,0.0005292113363200013
R1117v2,J_5T,Geometry_historical,0.008439746096509992,0.002524106498329015
R1126,J_5T,Geometry_historical,0.007661189398300294,0.000753816769064164
R1128,J_5T,Geometry_historical,0.008002509323115525,-7.871618412869097e-06
R1136,J_5T,Geometry_historical,0.009737615834366053,0.0004923556809453555
R1138,J_5T,Geometry_historical,0.009069468933560643,0.0007628299015441375
R1149,J_5T,Geometry_historical,0.008152335189343773,0.00014437287622776074
R1156,J_5T,Geometry_historical,0.008337517422143392,0.0007839105339105812
R1189,J_5T,Geometry_historical,0.008470247877749415,-4.037041113313933e-05
R1190,J_5T,Geometry_historical,0.00944062341283658,-0.0005926806244603289
R1107,V3_5T,Geometry_historical,0.005094482649501408,0.0014253168329255717
R1108,V3_5T,Geometry_historical,0.007623041336233705,0.003538469010436973
R1116,V3_5T,Geometry_historical,0.08775627640069672,-0.005977898372332813
R1117v2,V3_5T,Geometry_historical,0.025089807752103788,-0.00299987852443645
R1126,V3_5T,Geometry_historical,0.06670292325622018,-0.009320044982146614
R1128,V3_5T,Geometry_historical,0.05426452663849801,-0.008966429451939817
R1136,V3_5T,Geometry_historical,0.08107114003813098,-0.009754674594076113
R1138,V3_5T,Geometry_historical,0.07218577061806375,-0.00983460248443585
R1149,V3_5T,Geometry_historical,0.057745898929935535,-0.007314432648576452
R1156,V3_5T,Geometry_historical,0.06848567408427808,-0.006292546959213663
R1189,V3_5T,Geometry_historical,0.04592288413939194,-0.005008644839153309
R1190,V3_5T,Geometry_historical,0.05248899234297966,-0.007019219010744482
R1107,J_3T2D,Geometry_historical,0.0064294643863682666,-0.0029376685051236695
R1108,J_3T2D,Geometry_historical,0.009685272757876895,0.0018924493381015095
R1116,J_3T2D,Geometry_historical,0.006814655430077199,-0.00026674230368184393
R1117v2,J_3T2D,Geometry_historical,0.0015960776807504296,0.0017748416608067696
R1126,J_3T2D,Geometry_historical,0.010182906904843136,0.0014226953343488558
R1128,J_3T2D,Geometry_historical,0.00892981796132819,0.0004894635936096847
R1136,J_3T2D,Geometry_historical,0.01119085285836352,0.0008686831735567613
R1138,J_3T2D,Geometry_historical,0.009069468933560643,0.0007628299015441375
R1149,J_3T2D,Geometry_historical,0.009652428831616433,0.0005035097071387495
R1156,J_3T2D,Geometry_historical,0.011746900328044596,0.000667321913839003
R1189,J_3T2D,Geometry_historical,0.008217834676915281,-0.0005172746274441642
R1190,J_3T2D,Geometry_historical,0.01202410077874827,3.214534994194773e-05
R1107,V3_3T2D,Geometry_historical,0.004679207415727582,-0.002224731789949197
R1108,V3_3T2D,Geometry_historical,0.008198035466454368,0.0021256119082206926
R1116,V3_3T2D,Geometry_historical,0.05397507142072877,-0.006468076373131848
R1117v2,V3_3T2D,Geometry_historical,0.018708953765642633,-0.0031635038585708375
R1126,V3_3T2D,Geometry_historical,0.033538036357597,-0.0023393964912626353
R1128,V3_3T2D,Geometry_historical,0.036064365748065264,-0.004104228898470175
R1136,V3_3T2D,Geometry_historical,0.04624027100043371,-0.004191478860932185
R1138,V3_3T2D,Geometry_historical,0.07218577061806375,-0.00983460248443585
R1149,V3_3T2D,Geometry_historical,0.05075961768567128,-0.006621348291177553
R1156,V3_3T2D,Geometry_historical,0.041220689547966316,-0.002359139279288769
R1189,V3_3T2D,Geometry_historical,0.028012320528490342,-0.0018634931452727876
R1190,V3_3T2D,Geometry_historical,0.032499881582124246,-0.0035274212604721744
