target_id,length,rank,candidate_id,global_confidence,sha256,finite,path
R1107,69,1,drfold2_e2e__cfg97_20ckpt_e2e__01,0.2829095423221588,b507c5c10c704a23ff7ecec9cc3edba308e85ef46b1c94d245e4ce4848ae8b94,True,data/cache/geofuse_candidates/validation/R1107/drfold2_e2e__cfg97_20ckpt_e2e__01.npz
R1107,69,2,drfold2_e2e__cfg97_20ckpt_e2e__02,0.2312225103378296,45b40478a0d7bee65005e885ea65364ab69f80fc77ad555c37dca9a8b0b7e23f,True,data/cache/geofuse_candidates/validation/R1107/drfold2_e2e__cfg97_20ckpt_e2e__02.npz
R1107,69,3,drfold2_e2e__cfg97_20ckpt_e2e__03,0.22773787379264832,7835587bb83e0f7976dafb4b8afe39e0c291cb7903a49719299bebde42df426f,True,data/cache/geofuse_candidates/validation/R1107/drfold2_e2e__cfg97_20ckpt_e2e__03.npz
R1107,69,4,drfold2_e2e__cfg97_20ckpt_e2e__04,0.19917768239974976,4697972a3a31f1091fee1aaca1817ccda08ec219dffdec435cecf2e7e9013046,True,data/cache/geofuse_candidates/validation/R1107/drfold2_e2e__cfg97_20ckpt_e2e__04.npz
R1107,69,5,drfold2_e2e__cfg97_20ckpt_e2e__05,0.19720080494880676,9d89b5c9f4732472db18d8f2dc37c797eb64f28c98c92ce894ea126c0e02d7df,True,data/cache/geofuse_candidates/validation/R1107/drfold2_e2e__cfg97_20ckpt_e2e__05.npz
R1108,69,1,drfold2_e2e__cfg97_20ckpt_e2e__01,0.3545161187648773,444393a7925f82192dcb1d8bd4841736b024e394dd5b89636cffb87ab7112192,True,data/cache/geofuse_candidates/validation/R1108/drfold2_e2e__cfg97_20ckpt_e2e__01.npz
R1108,69,2,drfold2_e2e__cfg97_20ckpt_e2e__02,0.3241457939147949,49aa0e54a805592c02107cf6d0406c74330637ce5dc9a503d2f90e030c98cfda,True,data/cache/geofuse_candidates/validation/R1108/drfold2_e2e__cfg97_20ckpt_e2e__02.npz
R1108,69,3,drfold2_e2e__cfg97_20ckpt_e2e__03,0.31662517786026,ce7435cd9a814189e8e685928a1749bb3de2f8beb2d2273248d70759a078f641,True,data/cache/geofuse_candidates/validation/R1108/drfold2_e2e__cfg97_20ckpt_e2e__03.npz
R1108,69,4,drfold2_e2e__cfg97_20ckpt_e2e__04,0.3058599829673767,12e92a5780866fdb35a19e4609acc0ed10847a7fd78aa274c6d40672b598cb56,True,data/cache/geofuse_candidates/validation/R1108/drfold2_e2e__cfg97_20ckpt_e2e__04.npz
R1108,69,5,drfold2_e2e__cfg97_20ckpt_e2e__05,0.29833072423934937,c0a7ddec467902ad4c0f1155fa96e8576e58da0686962aac6844fbb3beeea863,True,data/cache/geofuse_candidates/validation/R1108/drfold2_e2e__cfg97_20ckpt_e2e__05.npz
R1116,157,1,drfold2_e2e__cfg97_20ckpt_e2e__01,0.21867020428180695,cfe4c14e0e7bbd378a133831b4d004bcb7d29c9ec32758f2234fd3a5662a7085,True,data/cache/geofuse_candidates/validation/R1116/drfold2_e2e__cfg97_20ckpt_e2e__01.npz
R1116,157,2,drfold2_e2e__cfg97_20ckpt_e2e__02,0.21129368245601654,c555ee463e5450fbb7d756bb767fb01034438d878f8389fe51cfa80d1532daea,True,data/cache/geofuse_candidates/validation/R1116/drfold2_e2e__cfg97_20ckpt_e2e__02.npz
R1116,157,3,drfold2_e2e__cfg97_20ckpt_e2e__03,0.20638610422611237,2ce0aeaccc79fad14a10255d1921f207150533119e90b398aa44726064c96e00,True,data/cache/geofuse_candidates/validation/R1116/drfold2_e2e__cfg97_20ckpt_e2e__03.npz
R1116,157,4,drfold2_e2e__cfg97_20ckpt_e2e__04,0.20406942069530487,f82504dce6c4d57a8cc72c24893df4ac8f148abc269eeb4aebfee34d5244eb46,True,data/cache/geofuse_candidates/validation/R1116/drfold2_e2e__cfg97_20ckpt_e2e__04.npz
R1116,157,5,drfold2_e2e__cfg97_20ckpt_e2e__05,0.2039346843957901,d4c371b4d8d2c41ccc9ff3ede495b848db1c3fcaed03148b0de5c246b5503f47,True,data/cache/geofuse_candidates/validation/R1116/drfold2_e2e__cfg97_20ckpt_e2e__05.npz
R1117v2,30,1,drfold2_e2e__cfg97_20ckpt_e2e__01,0.45052236318588257,e30393d0a5f536eb5b23912a786caf08616693bfde22707f19987fcd8ab8a0cc,True,data/cache/geofuse_candidates/validation/R1117v2/drfold2_e2e__cfg97_20ckpt_e2e__01.npz
R1117v2,30,2,drfold2_e2e__cfg97_20ckpt_e2e__02,0.4443916976451874,80e3e502806bfc6ccf252f3d287dce6a565bb61472198e32086314fada444f3f,True,data/cache/geofuse_candidates/validation/R1117v2/drfold2_e2e__cfg97_20ckpt_e2e__02.npz
R1117v2,30,3,drfold2_e2e__cfg97_20ckpt_e2e__03,0.4330180585384369,87dd7a6dcf44a38d4893d41ac2e90207200801704f483fc466d754ea88a06407,True,data/cache/geofuse_candidates/validation/R1117v2/drfold2_e2e__cfg97_20ckpt_e2e__03.npz
R1117v2,30,4,drfold2_e2e__cfg97_20ckpt_e2e__04,0.43105873465538025,127e1c053c607ebb4bde16317444f6a395b6fb7b7635198a71c692cbe0a1f97d,True,data/cache/geofuse_candidates/validation/R1117v2/drfold2_e2e__cfg97_20ckpt_e2e__04.npz
R1117v2,30,5,drfold2_e2e__cfg97_20ckpt_e2e__05,0.42915821075439453,8c27f03438bd0ca4f2022ab600d354776f58d374c29974a75c4f3d9ab4225373,True,data/cache/geofuse_candidates/validation/R1117v2/drfold2_e2e__cfg97_20ckpt_e2e__05.npz
